Model       Freq  Turbo  Cores  Threads   L1    L2  L3   W  Date        Single  Laptop
i7-820QM    1733   2733      4        8   64  0.25   8  45  2009-09-01    1014  Precision-M4500
i7-2760QM   2400   3500      4        8   64  0.25   6  45  2011-09-01    1541  Precision-M4600
i7-3740QM   2700   3700      4        8   64  0.25   6  45  2012-09-01    1886  Precision-M4700
i7-4800MQ   2700   3700      4        8   64  0.25   6  47  2013-06-01    1918  Precision-M4800
i7-5700HQ   2700   3500      4        8   64  0.25   6  47  2015-06-01    2027
i7-6820HQ   2700   3600      4        8   64  0.25   8  45  2015-09-01    1932  Precision-7510
i7-7820HQ   2900   3900      4        8   64  0.25   8  45  2017-01-01    2113  Precision-7520
i7-8750H    2200   4100      6       12   64  0.25   9  45  2018-04-01    2268  Precision-7530
i7-9750H    2600   4500      6       12   64  0.25  12  45  2019-04-01    2392  Precision-7540
i7-10850H   2700   4900      6       12   64  0.25  12  45  2020-04-01    2666  Precision-7550
i7-11800H   2300   4600      8       16   80  1.25  24  45  2021-05-01    3023  Precision-7560
i7-12800H   2400   4800      6       20   80  1.25  24  45  2022-01-01    3384  Precision-3571
i7-13700H   2400   5000      6       20   80  1.25  24  45  2023-01-01    3567  Precision-3581
u7-255H     2000   5100      6       14  112  2.50  24  28  2025-01-01    4100  Pro-MC16250-Max
