Time,Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Freq10,Freq11,Freq12,Freq13,Freq14,Freq15,Freq16,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Fan1,Fan2
0,4699,4580,4561,4561,4515,4488,4444,4402,800,800,800,800,800,800,800,800,59,58,57,56,56,55,55,55,0,0
1,4664,4627,4627,4578,4496,4473,4430,4429,4417,4405,4400,4237,800,800,800,800,99,70,70,69,69,68,68,64,0,0
3,4688,4667,4663,4642,4585,4511,4503,4472,800,800,800,800,800,800,800,800,99,71,70,69,69,66,65,65,0,0
4,4607,4606,4595,4594,4586,4574,4558,4553,800,800,800,800,800,800,800,800,99,71,71,69,69,66,66,64,0,0
5,4599,4528,4528,4482,4396,4389,4384,4362,4324,4303,800,800,800,800,800,800,100,71,71,70,69,68,65,64,0,0
7,4527,4526,4491,4399,4398,4383,4378,4359,4329,4322,4288,4244,4240,4227,4208,4197,100,72,71,69,69,68,65,65,1453,1336
8,4645,4601,4566,4519,4464,4360,4349,4244,800,800,800,800,800,800,800,800,100,72,71,70,70,68,66,65,1817,1566
10,4531,4531,4518,4491,4412,4407,4404,4389,4347,800,800,800,800,800,800,800,100,72,71,70,69,68,67,65,2046,1730
11,4699,4693,4637,4629,4567,4551,4502,800,800,800,800,800,800,800,800,800,100,72,71,70,70,69,69,65,2212,1875
12,4584,4584,4581,4553,4497,4370,4351,4304,800,800,800,800,800,800,800,800,100,72,71,70,70,69,66,65,2388,2063
14,4583,4564,4557,4516,4499,4466,4460,4412,4258,800,800,800,800,800,800,800,100,72,71,70,69,69,67,65,2577,2212
15,4599,4558,4543,4543,4435,4428,4414,4388,4384,800,800,800,800,800,800,800,100,72,71,70,69,69,67,65,2767,2369
16,4394,4379,4369,4360,4319,4318,4311,4292,4291,4284,800,800,800,800,800,800,100,72,71,70,70,69,67,65,2952,2529
18,4506,4506,4502,4500,4500,4500,4499,4388,800,800,800,800,800,800,800,800,100,72,71,70,70,69,66,65,3128,2688
19,4595,4514,4503,4500,4500,4500,4500,4499,4476,4318,800,800,800,800,800,800,100,72,71,70,70,70,67,65,3296,2868
20,4483,4483,4480,4442,4413,4399,4376,4359,4332,4292,800,800,800,800,800,800,100,73,71,70,70,70,69,66,3440,3033
