turbostat version 18.07.27 - Len Brown <lenb@kernel.org>
CPUID(0): GenuineIntel 0xd CPUID levels; 0x80000008 xlevels; family:model:stepping 0x6:3a:9 (6:58:9)
CPUID(1): SSE3 MONITOR SMX EIST TM2 TSC MSR ACPI-TM HT TM
CPUID(6): APERF, TURBO, DTS, PTM, No-HWP, No-HWPnotify, No-HWPwindow, No-HWPepp, No-HWPpkg, EPB
cpu2: MSR_IA32_MISC_ENABLE: 0x00850089 (TCC EIST MWAIT PREFETCH TURBO)
CPUID(7): No-SGX
cpu2: MSR_MISC_PWR_MGMT: 0x00400000 (ENable-EIST_Coordination DISable-EPB DISable-OOB)
RAPL: 1456 sec. Joule Counter Range, at 45 Watts
cpu2: MSR_PLATFORM_INFO: 0x80c10f0011b00
12 * 100.0 = 1200.0 MHz max efficiency frequency
27 * 100.0 = 2700.0 MHz base frequency
cpu2: MSR_IA32_POWER_CTL: 0x0014005d (C1E auto-promotion: DISabled)
cpu2: MSR_TURBO_RATIO_LIMIT: 0x23232425
35 * 100.0 = 3500.0 MHz max turbo 4 active cores
35 * 100.0 = 3500.0 MHz max turbo 3 active cores
36 * 100.0 = 3600.0 MHz max turbo 2 active cores
37 * 100.0 = 3700.0 MHz max turbo 1 active cores
cpu2: MSR_CONFIG_TDP_NOMINAL: 0x0000001b (base_ratio=27)
cpu2: MSR_CONFIG_TDP_LEVEL_1: 0x120000000000000 (PKG_MIN_PWR_LVL1=288 PKG_MAX_PWR_LVL1=0 LVL1_RATIO=0 PKG_TDP_LVL1=0)
cpu2: MSR_CONFIG_TDP_LEVEL_2: 0x120000000000000 (PKG_MIN_PWR_LVL2=288 PKG_MAX_PWR_LVL2=0 LVL2_RATIO=0 PKG_TDP_LVL2=0)
cpu2: MSR_CONFIG_TDP_CONTROL: 0x80000000 ( lock=1)
cpu2: MSR_TURBO_ACTIVATION_RATIO: 0x00000000 (MAX_NON_TURBO_RATIO=0 lock=0)
cpu2: MSR_PKG_CST_CONFIG_CONTROL: 0x1e008404 (UNdemote-C3, UNdemote-C1, demote-C3, demote-C1, locked, pkg-cstate-limit=4 (pc7))
cpu2: POLL: CPUIDLE CORE POLL IDLE
cpu2: C1: MWAIT 0x00
cpu2: C1E: MWAIT 0x01
cpu2: C3: MWAIT 0x10
cpu2: C6: MWAIT 0x20
cpu2: C7: MWAIT 0x30
cpu2: cpufreq driver: intel_pstate
cpu2: cpufreq governor: powersave
cpufreq intel_pstate no_turbo: 0
cpu2: MSR_MISC_FEATURE_CONTROL: 0x00000000 (L2-Prefetch L2-Prefetch-pair L1-Prefetch L1-IP-Prefetch)
cpu0: MSR_IA32_ENERGY_PERF_BIAS: 0x00000006 (balanced)
cpu0: MSR_RAPL_POWER_UNIT: 0x000a1003 (0.125000 Watts, 0.000015 Joules, 0.000977 sec.)
cpu0: MSR_PKG_POWER_INFO: 0x01200168 (45 W TDP, RAPL 36 - 0 W, 0.000000 sec.)
cpu0: MSR_PKG_POWER_LIMIT: 0x800081c200dc8168 (locked)
cpu0: PKG Limit #1: ENabled (45.000000 Watts, 28.000000 sec, clamp DISabled)
cpu0: PKG Limit #2: ENabled (56.250000 Watts, 0.000977* sec, clamp DISabled)
cpu0: MSR_PP0_POLICY: 0
cpu0: MSR_PP0_POWER_LIMIT: 0x00000000 (UNlocked)
cpu0: Cores Limit: DISabled (0.000000 Watts, 0.000977 sec, clamp DISabled)
cpu0: MSR_PP1_POLICY: 0
cpu0: MSR_PP1_POWER_LIMIT: 0x00000000 (UNlocked)
cpu0: GFX Limit: DISabled (0.000000 Watts, 0.000977 sec, clamp DISabled)
cpu0: MSR_IA32_TEMPERATURE_TARGET: 0x00691200 (105 C)
cpu0: MSR_IA32_PACKAGE_THERM_STATUS: 0x88340108 (53 C)
cpu0: MSR_IA32_PACKAGE_THERM_INTERRUPT: 0x00c1ad00 (40 C, 60 C)
cpu2: MSR_PKGC3_IRTL: 0x0000883b (valid, 60416 ns)
cpu2: MSR_PKGC6_IRTL: 0x00008850 (valid, 81920 ns)
cpu2: MSR_PKGC7_IRTL: 0x00008857 (valid, 89088 ns)
Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IRQ	SMI	POLL	C1	C1E	C3	C6	C7	POLL%	C1%	C1E%	C3%	C6%	C7%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	PkgTmp	GFX%rc6	GFXMHz	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	PkgWatt	CorWatt	GFXWatt
7	0.32	2185	2691	253	8	0	0	14	9	0	357	0.00	0.00	0.04	0.01	0.00	99.63	0.59	0.90	0.00	98.18	52	49	0.00	350	1.16	1.18	1.12	93.05	3.40	0.51	0.00
3	0.15	1870	2691	133	0	0	0	0	0	0	169	0.00	0.00	0.00	0.00	0.00	99.85	0.23	0.00	0.00	99.62	48	49	0.00	350	0.84	0.00	1.05	96.11	3.20	0.34	0.00
5	0.22	2414	2691	144	8	0	1	20	12	0	223	0.00	0.00	0.04	0.02	0.00	99.72	0.52	0.54	0.00	98.73	49	49	0.00	350	0.78	0.42	0.80	95.05	3.30	0.44	0.00
2	0.13	1918	2691	106	0	0	0	1	0	0	141	0.00	0.00	0.00	0.00	0.00	99.87	0.20	0.00	0.00	99.67	48	49	0.00	350	0.61	0.00	0.73	97.08	3.16	0.32	0.00
6	0.30	2132	2691	249	8	0	1	13	9	0	335	0.00	0.00	0.08	0.02	0.00	99.61	0.63	0.62	0.00	98.45	51	51	0.00	350	1.20	0.47	1.22	93.33	3.37	0.48	0.00
4	0.20	2272	2691	128	8	0	0	5	2	0	170	0.00	0.00	0.06	0.02	0.00	99.77	0.37	0.02	0.00	99.41	48	49	0.00	350	0.84	0.00	0.97	95.72	3.23	0.37	0.00
5	0.22	2392	2691	135	8	0	0	16	8	0	220	0.00	0.00	0.05	0.01	0.00	99.73	0.46	0.53	0.00	98.79	48	49	0.00	350	0.79	0.76	0.85	94.99	3.28	0.42	0.00
3	0.17	1859	2691	166	0	0	1	1	5	0	196	0.00	0.00	0.00	0.02	0.00	99.81	0.28	0.02	0.00	99.53	49	49	0.00	350	1.03	0.02	1.36	95.26	3.23	0.36	0.00
6	0.26	2392	2691	165	8	0	2	16	6	0	263	0.00	0.00	0.04	0.01	0.00	99.69	0.61	0.43	0.00	98.70	50	49	0.00	350	0.86	0.48	0.99	94.43	3.33	0.46	0.00
3	0.14	1987	2691	118	0	0	0	2	0	1	156	0.00	0.00	0.00	0.00	0.02	99.83	0.23	0.00	0.04	99.58	48	49	0.00	350	0.62	0.00	0.87	96.67	3.19	0.34	0.00
5	0.24	2310	2691	171	8	0	2	20	7	0	249	0.00	0.00	0.04	0.02	0.00	99.72	0.45	0.67	0.00	98.64	48	49	0.00	350	0.94	0.71	1.09	94.34	3.31	0.44	0.00
3	0.16	2074	2691	132	0	0	1	2	0	0	175	0.00	0.00	0.02	0.00	0.00	99.82	0.30	0.00	0.00	99.54	50	49	0.00	350	0.72	0.00	1.00	96.09	3.22	0.37	0.00
6	0.28	2236	2691	217	8	0	1	14	6	0	312	0.00	0.00	0.04	0.01	0.00	99.69	0.52	0.74	0.00	98.47	51	48	0.00	350	0.99	0.78	0.99	94.10	3.34	0.47	0.00
3	0.15	1869	2691	150	0	0	0	1	3	0	183	0.00	0.00	0.00	0.01	0.00	99.83	0.24	0.02	0.00	99.59	48	49	0.00	350	0.77	0.00	0.96	96.35	3.20	0.34	0.00
6	0.25	2251	2691	174	8	0	0	17	8	0	261	0.00	0.00	0.05	0.01	0.00	99.70	0.50	0.54	0.00	98.71	48	49	0.00	350	1.06	0.77	1.14	93.95	3.32	0.45	0.00
3	0.15	1831	2691	164	0	0	0	2	0	0	190	0.00	0.00	0.00	0.00	0.00	99.85	0.23	0.00	0.00	99.61	51	48	0.00	350	0.77	0.00	0.87	96.53	3.18	0.33	0.00
5	0.23	2358	2691	162	8	0	1	19	6	0	244	0.00	0.00	0.05	0.01	0.00	99.73	0.46	0.70	0.00	98.61	48	49	0.00	350	0.84	0.71	0.85	94.85	3.30	0.43	0.00
3	0.17	1990	2691	144	0	0	0	2	0	0	189	0.00	0.00	0.01	0.00	0.00	99.82	0.30	0.00	0.00	99.53	48	48	0.00	350	0.98	0.00	1.20	95.54	3.22	0.36	0.00
6	0.26	2272	2691	198	8	0	0	19	9	0	278	0.00	0.00	0.05	0.01	0.00	99.69	0.53	0.53	0.00	98.68	49	49	0.00	350	1.03	0.77	1.04	94.12	3.33	0.46	0.00
3	0.16	1874	2691	134	0	0	0	0	0	0	172	0.00	0.00	0.00	0.00	0.00	99.84	0.25	0.00	0.00	99.59	52	52	0.00	350	0.90	0.00	1.06	95.92	3.20	0.35	0.00
6	0.27	2377	2691	162	16	0	2	16	8	0	247	0.00	0.00	0.05	0.02	0.00	99.71	0.47	0.53	0.00	98.73	48	48	0.00	350	0.87	0.80	0.83	94.76	3.30	0.44	0.00
